,Username,Place,Peak Rating,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
Elite Tier,[Mythic] GGian,1,1526.8808,35,24,24,0,0,2,0,0,3,,"""Counted wins"" are either the total number of wins a player earned, or their maximum allowed for prizes based on the rank they had at the end of their 25th game during the event."
Leaderboard,魔junior,2,1547.377824,22,22,22,0,0,2,0,1,2,,
,Wezz,3,1517.142432,38,21,21,0,0,2,0,0,2,,
,[tst]cautionfun,4,1508.380384,61,21,21,0,1,1,0,0,2,,
,[tst]bonkthatbutt,5,1495.868576,21,21,21,0,0,1,0,0,2,,
,[Mythic] revan,6,1494.114624,31,21,21,0,0,1,0,1,1,,
,Lysander,7,1500.713216,23,20,20,0,0,1,0,0,1,,
,Ayo,8,1489.115424,28,20,20,0,0,0,0,1,1,,
,Mirage88,9,1465.060192,48,20,20,0,1,0,0,0,1,,
,r3hab,10,1510.870976,30,19,19,0,0,0,0,0,1,,
,,,,,,,,,,,,,,
,Username,,Rank,Wins,Wins in first 25,Counted Wins,Core Rare,Core Epic,Core Legendary,Trial Rare,Trial Epic,Trial Legendary,,
,[Mythic] GGian,,12,35,24,24,0,0,3,1,1,2,,
,魔junior,,12,22,22,22,0,0,3,0,0,2,,
,[tst]cautionfun,,12,61,21,21,0,0,2,1,2,1,,
,Wezz,,12,38,21,21,0,0,2,1,2,1,,
Complete,[Mythic] revan,,12,31,21,21,0,0,2,1,2,1,,
Weekend,[tst]bonkthatbutt,,12,21,21,21,0,0,2,0,2,1,,
Ranked,Mirage88,,12,48,20,20,0,1,1,2,1,1,,
(Includes,Ayo,,12,28,20,20,0,1,1,1,1,1,,
Bonus Prizes,Lysander,,12,23,20,20,0,1,1,1,1,1,,
for 30 Wins),☺Mythic☺ Dragonstorm,,12,37,19,19,0,2,1,1,2,0,,
,TREY,,12,43,19,19,0,2,1,1,2,0,,
,r3hab,,12,30,19,19,0,2,1,1,2,0,,
,Apollo,,12,19,19,19,0,2,1,0,2,0,,
,Грумвол,,11,19,19,19,0,2,1,0,2,0,,
,cryptoznewb,,11,19,19,19,0,2,1,0,2,0,,
,[tst]themudman,,12,56,18,18,0,3,0,1,2,0,,
,よしだ,,12,40,18,18,0,3,0,1,2,0,,
,Ares,,9,36,19,18,0,3,0,1,2,0,,
,TheNachoSamurai,,12,33,18,18,0,3,0,1,2,0,,
,自然,,12,30,18,18,0,3,0,1,2,0,,
,BlackMagic,,9,30,19,18,0,3,0,1,2,0,,
,Aragon,,10,30,18,18,0,3,0,1,2,0,,
,sparky,,9,27,20,18,0,3,0,0,2,0,,
,ногоонзалуу,,12,20,18,18,0,3,0,0,2,0,,
,GUDecks.com,,12,19,18,18,0,3,0,0,2,0,,
,[tst] Freedan,,12,18,18,18,0,3,0,0,2,0,,
,Ἄρης,,12,18,18,18,0,3,0,0,2,0,,
,Scuffle,,12,18,18,18,0,3,0,0,2,0,,
,trilldebeest,,8,30,17,17,1,2,0,1,2,0,,
,Krumpy Lumpkins,,12,40,17,17,1,2,0,1,2,0,,
,学中文,,12,30,17,17,1,2,0,1,2,0,,
,sigfriedCrypto,,8,27,18,17,1,2,0,0,2,0,,
,Fantomasek,,12,30,17,17,1,2,0,1,2,0,,
,menelvagor,,11,18,17,17,1,2,0,0,2,0,,
,RavenGuard,,12,21,17,17,1,2,0,0,2,0,,
,Surface2AirMissle,,8,21,19,17,1,2,0,0,2,0,,
,[Mythic] Unchained,,12,18,17,17,1,2,0,0,2,0,,
,Kselsi,,8,20,19,17,1,2,0,0,2,0,,
,Clackity,,9,17,17,17,1,2,0,0,2,0,,
,Unique.Esprit,,8,18,17,17,1,2,0,0,2,0,,
,キツネの叫び,,12,17,17,17,1,2,0,0,2,0,,
,KLMJ,,8,17,17,17,1,2,0,0,2,0,,
,UnjustOne,,12,17,17,17,1,2,0,0,2,0,,
,Hellicon,,8,17,17,17,1,2,0,0,2,0,,
,Galragg,,8,17,17,17,1,2,0,0,2,0,,
,Demolisher,,8,17,17,17,1,2,0,0,2,0,,
,Sir Tango,,10,17,17,17,1,2,0,0,2,0,,
,☺,,7,47,17,16,0,3,0,2,1,0,,
,noteboom,,11,37,16,16,0,3,0,2,1,0,,
,V-Hirvi,,12,40,16,16,0,3,0,2,1,0,,
,Merkuriusmelv0,,8,36,16,16,0,3,0,2,1,0,,
,Acecompac,,7,32,16,16,0,3,0,2,1,0,,
,Demons,,12,31,16,16,0,3,0,2,1,0,,
,Archangel1318,,12,40,16,16,0,3,0,2,1,0,,
,Djonbol1,,7,30,16,16,0,3,0,2,1,0,,
,ザハード,,12,30,16,16,0,3,0,2,1,0,,
,popovanton89,,12,32,16,16,0,3,0,2,1,0,,
,Moonpig,,11,23,16,16,0,3,0,1,1,0,,
,The38th,,12,21,16,16,0,3,0,1,1,0,,
,davirozz,,7,23,16,16,0,3,0,1,1,0,,
,Mlon Eusk,,12,20,16,16,0,3,0,1,1,0,,
,✜,,10,18,16,16,0,3,0,1,1,0,,
,ElPatron,,8,17,16,16,0,3,0,1,1,0,,
,Swen 122,,8,17,16,16,0,3,0,1,1,0,,
,あ,,12,19,16,16,0,3,0,1,1,0,,
,neverytime,,7,20,17,16,0,3,0,1,1,0,,
,quantumgamble,,10,19,16,16,0,3,0,1,1,0,,
,little1985,,9,17,16,16,0,3,0,1,1,0,,
,Saint777,,10,17,16,16,0,3,0,1,1,0,,
,Cananopie,,7,17,16,16,0,3,0,1,1,0,,
,ゆかり,,12,17,16,16,0,3,0,1,1,0,,
,chaoren,,12,16,16,16,0,3,0,1,1,0,,
,zlaxor,,12,17,16,16,0,3,0,1,1,0,,
,colliseum,,12,16,16,16,0,3,0,1,1,0,,
,mattyesq,,9,16,16,16,0,3,0,1,1,0,,
,mahkoyu5143,,8,16,16,16,0,3,0,1,1,0,,
,Drummerboyj,,7,20,20,16,0,3,0,1,1,0,,
,武将,,10,16,16,16,0,3,0,1,1,0,,
,Þ,,10,16,16,16,0,3,0,1,1,0,,
,karlito636,,9,16,16,16,0,3,0,1,1,0,,
,Bielobog,,7,16,16,16,0,3,0,1,1,0,,
,שלימזל,,12,16,16,16,0,3,0,1,1,0,,
,kovanova,,7,16,16,16,0,3,0,1,1,0,,
,TheHassy,,12,16,16,16,0,3,0,1,1,0,,
,Glamlys,,8,16,16,16,0,3,0,1,1,0,,
,⌀,,7,16,16,16,0,3,0,1,1,0,,
,XSITE,,10,54,15,15,1,2,0,3,0,0,,
,superslim,,8,47,15,15,1,2,0,3,0,0,,
,Gandalf,,12,42,15,15,1,2,0,3,0,0,,
,idncrypto67,,6,38,16,15,1,2,0,3,0,0,,
,sczi*987,,6,33,18,15,1,2,0,3,0,0,,
,ƉƉƉƉ,,9,31,15,15,1,2,0,3,0,0,,
,Starry Ninja,,12,21,15,15,1,2,0,2,0,0,,
,TheCosmicShame,,8,30,15,15,1,2,0,3,0,0,,
,roytutu,,11,30,15,15,1,2,0,3,0,0,,
,Lokilamadupa,,12,30,15,15,1,2,0,3,0,0,,
,superslim-NCP,,8,24,15,15,1,2,0,2,0,0,,
,CopperPitch,,12,32,15,15,1,2,0,3,0,0,,
,Waikikamukau,,12,31,15,15,1,2,0,3,0,0,,
,slivenec,,7,24,15,15,1,2,0,2,0,0,,
,longdarth,,12,22,15,15,1,2,0,2,0,0,,
,cholzgu,,8,19,15,15,1,2,0,2,0,0,,
